lon,lat,ts_seconds,concentration,source,license,notes
37.4044,44.6952,86584027,0.1466,synthetic-blacksea-mix,CC0-1.0,Anapa
37.5056,45.0538,100436861,0.0409,synthetic-blacksea-mix,CC0-1.0,Anapa
28.4933,44.1189,53624187,0.3137,synthetic-blacksea-mix,CC0-1.0,Constanta
39.9235,40.6678,88237399,0.1079,synthetic-blacksea-mix,CC0-1.0,Trabzon
39.6608,43.4673,87523234,0.3983,synthetic-blacksea-mix,CC0-1.0,Sochi
28.3540,44.4880,138968924,0.0245,synthetic-blacksea-mix,CC0-1.0,Constanta
39.1754,41.4474,97656430,0.0277,synthetic-blacksea-mix,CC0-1.0,offshore
39.2850,43.6401,97278280,0.0234,synthetic-blacksea-mix,CC0-1.0,Sochi
40.0047,43.6122,135936793,0.0455,synthetic-blacksea-mix,CC0-1.0,Sochi
37.5095,44.7017,153651599,0.1453,synthetic-blacksea-mix,CC0-1.0,Anapa
39.8478,41.4232,65995288,0.0000,synthetic-blacksea-mix,CC0-1.0,Trabzon
28.4910,44.1290,40275041,0.0804,synthetic-blacksea-mix,CC0-1.0,Constanta
28.2896,43.9857,116284727,0.0215,synthetic-blacksea-mix,CC0-1.0,Constanta
37.5677,45.2232,80056468,0.2215,synthetic-blacksea-mix,CC0-1.0,Anapa
36.7464,44.9200,116569973,0.0744,synthetic-blacksea-mix,CC0-1.0,offshore
37.4918,44.7173,137946451,0.2261,synthetic-blacksea-mix,CC0-1.0,Anapa
27.3432,42.6850,18509235,0.2739,synthetic-blacksea-mix,CC0-1.0,Burgas
37.6391,44.9515,51243419,0.3250,synthetic-blacksea-mix,CC0-1.0,Novorossiysk
39.3619,43.8239,26189152,0.0119,synthetic-blacksea-mix,CC0-1.0,Sochi
37.1905,44.5094,52344401,0.1891,synthetic-blacksea-mix,CC0-1.0,Anapa
27.9186,42.5838,62648638,0.0171,synthetic-blacksea-mix,CC0-1.0,Burgas
37.4036,44.7568,4626180,0.0000,synthetic-blacksea-mix,CC0-1.0,Anapa
28.4705,43.7647,103836551,0.0383,synthetic-blacksea-mix,CC0-1.0,Constanta
36.9764,44.9695,136522577,0.0517,synthetic-blacksea-mix,CC0-1.0,Anapa
27.3668,42.5482,94381799,0.0000,synthetic-blacksea-mix,CC0-1.0,Burgas
37.3085,45.2170,88898799,0.2025,synthetic-blacksea-mix,CC0-1.0,Anapa
38.7462,40.9645,69701216,0.0311,synthetic-blacksea-mix,CC0-1.0,offshore
40.3964,41.2328,129540746,0.0130,synthetic-blacksea-mix,CC0-1.0,offshore
37.4221,45.1491,64983884,0.0041,synthetic-blacksea-mix,CC0-1.0,Anapa
39.7776,43.5645,11132749,0.3390,synthetic-blacksea-mix,CC0-1.0,Sochi
36.4823,45.0934,63905573,0.0000,synthetic-blacksea-mix,CC0-1.0,offshore
27.5914,42.5929,38989106,0.0718,synthetic-blacksea-mix,CC0-1.0,Burgas
27.9429,42.9601,33583267,0.0000,synthetic-blacksea-mix,CC0-1.0,offshore
36.8700,44.9796,44272834,0.0933,synthetic-blacksea-mix,CC0-1.0,Anapa
28.6090,44.2392,59339527,0.1735,synthetic-blacksea-mix,CC0-1.0,Constanta
27.2958,42.3530,28498345,0.0570,synthetic-blacksea-mix,CC0-1.0,Burgas
28.7877,44.0190,66417442,0.0281,synthetic-blacksea-mix,CC0-1.0,Constanta
39.9350,40.6833,107517139,0.0355,synthetic-blacksea-mix,CC0-1.0,Trabzon
32.8119,44.6378,111790351,0.0598,synthetic-blacksea-mix,CC0-1.0,offshore
27.5694,42.8912,146142912,0.1218,synthetic-blacksea-mix,CC0-1.0,Burgas
27.2349,42.6358,81400513,0.1476,synthetic-blacksea-mix,CC0-1.0,Burgas
39.6404,41.1884,99202728,0.0000,synthetic-blacksea-mix,CC0-1.0,Trabzon
27.7565,42.8174,29377563,0.0010,synthetic-blacksea-mix,CC0-1.0,Burgas
39.2952,43.6132,72773001,0.0000,synthetic-blacksea-mix,CC0-1.0,Sochi
37.7604,44.4707,49512184,0.4176,synthetic-blacksea-mix,CC0-1.0,Novorossiysk
37.6931,44.8604,74812383,0.2309,synthetic-blacksea-mix,CC0-1.0,Novorossiysk
38.0421,44.9224,141609705,0.1334,synthetic-blacksea-mix,CC0-1.0,Novorossiysk
37.2110,44.8280,56998627,0.5960,synthetic-blacksea-mix,CC0-1.0,Anapa
37.2623,45.0043,56935314,0.5046,synthetic-blacksea-mix,CC0-1.0,Anapa
40.4368,43.7240,60389812,0.0042,synthetic-blacksea-mix,CC0-1.0,offshore
37.5338,45.2159,48653609,0.2189,synthetic-blacksea-mix,CC0-1.0,Anapa
37.5564,44.5818,99928131,0.0661,synthetic-blacksea-mix,CC0-1.0,Novorossiysk
40.0674,40.8954,38253224,0.0000,synthetic-blacksea-mix,CC0-1.0,Trabzon
28.7617,43.8670,75217161,0.1040,synthetic-blacksea-mix,CC0-1.0,Constanta
37.6315,44.6716,91784039,0.1428,synthetic-blacksea-mix,CC0-1.0,Novorossiysk
39.2820,41.2900,70724038,0.0000,synthetic-blacksea-mix,CC0-1.0,offshore
39.4111,43.3770,105795857,0.1083,synthetic-blacksea-mix,CC0-1.0,Sochi
27.3738,42.4717,68817549,0.1123,synthetic-blacksea-mix,CC0-1.0,Burgas
37.5001,45.1448,108243771,0.2492,synthetic-blacksea-mix,CC0-1.0,Anapa
37.0853,44.7975,73837589,0.2395,synthetic-blacksea-mix,CC0-1.0,Anapa
37.7739,44.7931,16883399,0.6535,synthetic-blacksea-mix,CC0-1.0,Novorossiysk
39.8942,41.0854,146102356,0.4145,synthetic-blacksea-mix,CC0-1.0,Trabzon
27.2919,42.5369,37414028,0.0524,synthetic-blacksea-mix,CC0-1.0,Burgas
29.0359,44.4292,118624787,0.0391,synthetic-blacksea-mix,CC0-1.0,Constanta
39.5896,41.0846,133931209,0.0129,synthetic-blacksea-mix,CC0-1.0,Trabzon
27.9689,42.4631,88542096,0.0511,synthetic-blacksea-mix,CC0-1.0,offshore
37.2431,44.6936,54506873,0.3620,synthetic-blacksea-mix,CC0-1.0,Anapa
37.9245,44.4167,149218546,0.2851,synthetic-blacksea-mix,CC0-1.0,Novorossiysk
37.6156,44.5303,25665275,0.0279,synthetic-blacksea-mix,CC0-1.0,Novorossiysk
37.3330,44.3251,102134937,0.1201,synthetic-blacksea-mix,CC0-1.0,offshore
37.9875,44.7366,26934244,0.2347,synthetic-blacksea-mix,CC0-1.0,Novorossiysk
27.0895,42.6410,5649233,0.0000,synthetic-blacksea-mix,CC0-1.0,Burgas
40.3048,43.3894,13227655,0.0602,synthetic-blacksea-mix,CC0-1.0,offshore
29.1762,44.2169,142174353,0.1571,synthetic-blacksea-mix,CC0-1.0,offshore
38.0033,44.5099,154542516,0.1832,synthetic-blacksea-mix,CC0-1.0,Novorossiysk
37.5253,44.7017,1314053,0.0820,synthetic-blacksea-mix,CC0-1.0,Novorossiysk
28.6383,44.1077,65814455,0.0642,synthetic-blacksea-mix,CC0-1.0,Constanta
28.6404,44.2509,17384168,0.5130,synthetic-blacksea-mix,CC0-1.0,Constanta
40.1589,43.1644,112128759,0.0142,synthetic-blacksea-mix,CC0-1.0,offshore
37.3953,44.8901,115138325,0.1185,synthetic-blacksea-mix,CC0-1.0,Anapa
37.9911,44.5557,17356518,0.2246,synthetic-blacksea-mix,CC0-1.0,Novorossiysk
39.7482,43.4934,132752787,0.0563,synthetic-blacksea-mix,CC0-1.0,Sochi
27.3772,42.4010,25146901,0.1314,synthetic-blacksea-mix,CC0-1.0,Burgas
27.7238,42.4076,139325054,0.2944,synthetic-blacksea-mix,CC0-1.0,Burgas
27.4042,43.0124,59202367,0.0000,synthetic-blacksea-mix,CC0-1.0,offshore
28.3351,44.0357,47527038,0.1618,synthetic-blacksea-mix,CC0-1.0,Constanta
37.6423,44.6310,89872705,0.2181,synthetic-blacksea-mix,CC0-1.0,Novorossiysk
40.4334,40.8616,52482538,0.1186,synthetic-blacksea-mix,CC0-1.0,offshore
37.3450,44.8620,44451966,0.4332,synthetic-blacksea-mix,CC0-1.0,Anapa
37.9954,44.5790,11822898,0.1299,synthetic-blacksea-mix,CC0-1.0,Novorossiysk
39.7850,43.2113,156317272,0.0050,synthetic-blacksea-mix,CC0-1.0,Sochi
37.5965,44.7959,19712084,0.4626,synthetic-blacksea-mix,CC0-1.0,Novorossiysk
37.0105,44.5166,36172076,0.0000,synthetic-blacksea-mix,CC0-1.0,Anapa
39.8125,43.4472,36271863,0.1242,synthetic-blacksea-mix,CC0-1.0,Sochi
37.4661,44.9060,50234712,0.1388,synthetic-blacksea-mix,CC0-1.0,Anapa
38.0810,44.5116,65340173,0.0000,synthetic-blacksea-mix,CC0-1.0,Novorossiysk
37.8655,45.0802,81504001,0.1346,synthetic-blacksea-mix,CC0-1.0,Novorossiysk
28.8510,44.3352,62081738,0.0000,synthetic-blacksea-mix,CC0-1.0,Constanta
39.6837,43.8160,125945755,0.0000,synthetic-blacksea-mix,CC0-1.0,Sochi
40.3654,43.6738,46938752,0.0958,synthetic-blacksea-mix,CC0-1.0,offshore
27.5984,42.3716,1843692,0.0101,synthetic-blacksea-mix,CC0-1.0,Burgas
37.9061,45.1076,62013428,0.0933,synthetic-blacksea-mix,CC0-1.0,Novorossiysk
39.7359,43.6329,144643579,0.8277,synthetic-blacksea-mix,CC0-1.0,Sochi
28.7771,44.1827,107245607,0.4000,synthetic-blacksea-mix,CC0-1.0,Constanta
36.8044,44.8612,152615115,0.0117,synthetic-blacksea-mix,CC0-1.0,offshore
39.3991,41.2688,157017705,0.0831,synthetic-blacksea-mix,CC0-1.0,Trabzon
37.6642,44.7604,67565725,0.0000,synthetic-blacksea-mix,CC0-1.0,Novorossiysk
39.6317,41.5363,51829788,0.0966,synthetic-blacksea-mix,CC0-1.0,offshore
37.5058,44.9824,86061286,0.4766,synthetic-blacksea-mix,CC0-1.0,Anapa
28.6576,43.8546,42400225,0.0877,synthetic-blacksea-mix,CC0-1.0,Constanta
27.4455,42.8522,107492569,0.1159,synthetic-blacksea-mix,CC0-1.0,Burgas
33.2403,44.1342,64520983,0.0108,synthetic-blacksea-mix,CC0-1.0,offshore
37.9658,44.6267,55902814,0.1331,synthetic-blacksea-mix,CC0-1.0,Novorossiysk
33.6345,45.0380,60702291,0.0251,synthetic-blacksea-mix,CC0-1.0,offshore
39.3134,43.6772,139122495,0.1290,synthetic-blacksea-mix,CC0-1.0,Sochi
37.0066,45.1561,90325949,0.1360,synthetic-blacksea-mix,CC0-1.0,Anapa
28.7851,43.9586,3007804,0.0000,synthetic-blacksea-mix,CC0-1.0,Constanta
39.3901,43.5967,28701215,0.0000,synthetic-blacksea-mix,CC0-1.0,Sochi
28.3501,44.1110,146744931,0.1436,synthetic-blacksea-mix,CC0-1.0,Constanta
39.2258,41.2245,108015026,0.0792,synthetic-blacksea-mix,CC0-1.0,offshore
28.2125,44.0666,113670428,0.0633,synthetic-blacksea-mix,CC0-1.0,Constanta
28.7944,44.5240,19114335,0.1711,synthetic-blacksea-mix,CC0-1.0,Constanta
39.9987,43.6884,121291675,0.1922,synthetic-blacksea-mix,CC0-1.0,Sochi
28.3901,44.4799,101924137,0.0613,synthetic-blacksea-mix,CC0-1.0,Constanta
37.3179,44.7032,116713608,0.3783,synthetic-blacksea-mix,CC0-1.0,Anapa
37.2783,44.9398,152717778,0.4241,synthetic-blacksea-mix,CC0-1.0,Anapa
39.3153,43.6212,9225025,0.0644,synthetic-blacksea-mix,CC0-1.0,Sochi
39.3071,43.2114,72953394,0.0604,synthetic-blacksea-mix,CC0-1.0,offshore
37.8829,44.4183,156907462,0.0292,synthetic-blacksea-mix,CC0-1.0,Novorossiysk
28.4412,44.2503,40494547,0.0827,synthetic-blacksea-mix,CC0-1.0,Constanta
39.7571,43.3815,27203712,0.2244,synthetic-blacksea-mix,CC0-1.0,Sochi
39.6656,41.0992,60751532,0.1901,synthetic-blacksea-mix,CC0-1.0,Trabzon
40.1946,40.3030,122575237,0.0734,synthetic-blacksea-mix,CC0-1.0,offshore
39.9464,43.5538,55257936,0.2096,synthetic-blacksea-mix,CC0-1.0,Sochi
37.8486,44.9344,41361749,0.1462,synthetic-blacksea-mix,CC0-1.0,Novorossiysk
27.1044,42.8500,113883672,0.1477,synthetic-blacksea-mix,CC0-1.0,Burgas
39.3734,43.3461,123276370,0.0664,synthetic-blacksea-mix,CC0-1.0,Sochi
37.2594,45.0087,4553208,0.0113,synthetic-blacksea-mix,CC0-1.0,Anapa
37.4387,44.8658,137207806,0.3716,synthetic-blacksea-mix,CC0-1.0,Anapa
38.0116,44.6957,40863686,0.1008,synthetic-blacksea-mix,CC0-1.0,Novorossiysk
37.1859,44.5314,97016665,0.0000,synthetic-blacksea-mix,CC0-1.0,Anapa
37.8543,45.1560,136865813,0.0835,synthetic-blacksea-mix,CC0-1.0,Novorossiysk
37.6437,44.7631,134370639,0.1051,synthetic-blacksea-mix,CC0-1.0,Novorossiysk
37.6977,44.7523,29996391,0.1095,synthetic-blacksea-mix,CC0-1.0,Novorossiysk
37.7362,44.6851,103212842,0.2816,synthetic-blacksea-mix,CC0-1.0,Novorossiysk
28.9779,44.0081,28580996,0.0000,synthetic-blacksea-mix,CC0-1.0,Constanta
37.6937,44.6918,131469761,0.0622,synthetic-blacksea-mix,CC0-1.0,Novorossiysk
37.1916,44.7585,121449041,0.1992,synthetic-blacksea-mix,CC0-1.0,Anapa
28.8191,44.3693,24605715,0.0498,synthetic-blacksea-mix,CC0-1.0,Constanta
29.1217,44.3957,116777982,0.1037,synthetic-blacksea-mix,CC0-1.0,offshore
37.1622,45.0073,37482807,0.0091,synthetic-blacksea-mix,CC0-1.0,Anapa
37.2410,44.9361,126000513,0.0799,synthetic-blacksea-mix,CC0-1.0,Anapa
28.5513,43.7388,66943640,0.0335,synthetic-blacksea-mix,CC0-1.0,Constanta
37.7523,44.7303,98296135,0.0000,synthetic-blacksea-mix,CC0-1.0,Novorossiysk
39.2662,43.4865,139709203,0.0517,synthetic-blacksea-mix,CC0-1.0,Sochi
37.5386,44.6513,139400650,0.1780,synthetic-blacksea-mix,CC0-1.0,Novorossiysk
37.2639,44.7304,111278708,0.4730,synthetic-blacksea-mix,CC0-1.0,Anapa
37.1600,45.2776,154058064,0.1107,synthetic-blacksea-mix,CC0-1.0,Anapa
39.9907,43.8607,94997395,0.0000,synthetic-blacksea-mix,CC0-1.0,Sochi
27.7149,44.0632,94022001,0.0208,synthetic-blacksea-mix,CC0-1.0,offshore
28.5274,44.0000,102159743,0.1001,synthetic-blacksea-mix,CC0-1.0,Constanta
37.9622,44.5012,121502107,0.1087,synthetic-blacksea-mix,CC0-1.0,Novorossiysk
39.4057,43.3489,120382956,0.0704,synthetic-blacksea-mix,CC0-1.0,Sochi
28.5026,43.9946,64434823,0.0000,synthetic-blacksea-mix,CC0-1.0,Constanta
39.6281,41.0759,110491314,0.4150,synthetic-blacksea-mix,CC0-1.0,Trabzon
39.7050,41.0880,46018784,0.3341,synthetic-blacksea-mix,CC0-1.0,Trabzon
40.0253,40.8860,14536688,0.1374,synthetic-blacksea-mix,CC0-1.0,Trabzon
27.0231,42.1768,85553524,0.0000,synthetic-blacksea-mix,CC0-1.0,offshore
36.9866,45.0568,100042240,0.0000,synthetic-blacksea-mix,CC0-1.0,Anapa
29.3717,44.6077,45528934,0.0353,synthetic-blacksea-mix,CC0-1.0,offshore
39.2507,40.9056,85440825,0.1108,synthetic-blacksea-mix,CC0-1.0,Trabzon
39.4601,43.6827,149388765,0.2794,synthetic-blacksea-mix,CC0-1.0,Sochi
36.9119,45.0108,114704390,0.2700,synthetic-blacksea-mix,CC0-1.0,Anapa
37.7680,44.9351,58486571,0.2131,synthetic-blacksea-mix,CC0-1.0,Novorossiysk
28.3790,44.3027,131468649,0.0406,synthetic-blacksea-mix,CC0-1.0,Constanta
37.1977,44.9729,26122300,0.3489,synthetic-blacksea-mix,CC0-1.0,Anapa
28.6522,44.0726,66712939,0.0000,synthetic-blacksea-mix,CC0-1.0,Constanta
37.0532,45.3174,40556685,0.0203,synthetic-blacksea-mix,CC0-1.0,offshore
40.3706,40.7604,22552619,0.0183,synthetic-blacksea-mix,CC0-1.0,offshore
28.6316,44.4306,37785103,0.0554,synthetic-blacksea-mix,CC0-1.0,Constanta
37.6484,44.6909,64294401,0.0000,synthetic-blacksea-mix,CC0-1.0,Novorossiysk
38.0259,44.8540,106224428,0.1627,synthetic-blacksea-mix,CC0-1.0,Novorossiysk
29.0339,44.2022,126822074,0.0523,synthetic-blacksea-mix,CC0-1.0,Constanta
39.6701,43.4016,155942207,0.1002,synthetic-blacksea-mix,CC0-1.0,Sochi
39.1855,43.7322,67486210,0.0000,synthetic-blacksea-mix,CC0-1.0,offshore
39.6171,40.9615,144135064,0.3307,synthetic-blacksea-mix,CC0-1.0,Trabzon
37.4021,44.6675,141454899,0.1496,synthetic-blacksea-mix,CC0-1.0,Anapa
27.5480,44.2401,11833130,0.0730,synthetic-blacksea-mix,CC0-1.0,offshore
37.2898,44.9455,134353248,0.1822,synthetic-blacksea-mix,CC0-1.0,Anapa
38.1743,44.6214,112132511,0.1551,synthetic-blacksea-mix,CC0-1.0,Novorossiysk
40.3843,43.3851,31196221,0.0894,synthetic-blacksea-mix,CC0-1.0,offshore
27.0908,42.7602,40621034,0.0000,synthetic-blacksea-mix,CC0-1.0,Burgas
37.6826,44.8646,101915640,0.0651,synthetic-blacksea-mix,CC0-1.0,Novorossiysk
38.0974,44.9356,70449307,0.0000,synthetic-blacksea-mix,CC0-1.0,Novorossiysk
39.3499,41.0823,4624123,0.0197,synthetic-blacksea-mix,CC0-1.0,Trabzon
37.5224,44.6751,148106144,0.3443,synthetic-blacksea-mix,CC0-1.0,Novorossiysk
27.0994,42.6568,102914023,0.0795,synthetic-blacksea-mix,CC0-1.0,Burgas
39.2785,43.7833,27578893,0.0000,synthetic-blacksea-mix,CC0-1.0,Sochi
39.5597,43.3436,44240043,0.1626,synthetic-blacksea-mix,CC0-1.0,Sochi
39.6130,43.8555,148126155,0.2127,synthetic-blacksea-mix,CC0-1.0,Sochi
37.8272,44.6809,121031300,0.0422,synthetic-blacksea-mix,CC0-1.0,Novorossiysk
37.9225,44.2618,98200565,0.0000,synthetic-blacksea-mix,CC0-1.0,Novorossiysk
27.3189,42.5636,130749451,0.0333,synthetic-blacksea-mix,CC0-1.0,Burgas
29.1442,44.2626,98618370,0.0419,synthetic-blacksea-mix,CC0-1.0,offshore
39.3454,41.1364,105289183,0.0888,synthetic-blacksea-mix,CC0-1.0,Trabzon
36.9593,45.1261,125577435,0.0717,synthetic-blacksea-mix,CC0-1.0,Anapa
37.9760,44.6051,12170005,0.2747,synthetic-blacksea-mix,CC0-1.0,Novorossiysk
28.2477,43.9285,31263054,0.0340,synthetic-blacksea-mix,CC0-1.0,Constanta
27.5128,42.5817,5177095,0.0632,synthetic-blacksea-mix,CC0-1.0,Burgas
39.7080,43.6238,134492094,0.1247,synthetic-blacksea-mix,CC0-1.0,Sochi
28.7726,44.3524,326608,0.0074,synthetic-blacksea-mix,CC0-1.0,Constanta
37.2796,45.1178,44610019,0.3478,synthetic-blacksea-mix,CC0-1.0,Anapa
37.3636,45.4167,129809838,0.0500,synthetic-blacksea-mix,CC0-1.0,offshore
40.0189,40.7084,27048162,0.1262,synthetic-blacksea-mix,CC0-1.0,Trabzon
39.5745,40.9516,84513486,0.4625,synthetic-blacksea-mix,CC0-1.0,Trabzon
28.2771,44.2161,126904675,0.0000,synthetic-blacksea-mix,CC0-1.0,Constanta
37.5899,44.7939,143545526,0.3644,synthetic-blacksea-mix,CC0-1.0,Novorossiysk
27.5092,42.5337,34627578,0.0125,synthetic-blacksea-mix,CC0-1.0,Burgas
32.9677,44.5369,12233959,0.0006,synthetic-blacksea-mix,CC0-1.0,offshore
27.3689,42.3687,63203316,0.0000,synthetic-blacksea-mix,CC0-1.0,Burgas
39.5872,43.8723,125268768,0.0774,synthetic-blacksea-mix,CC0-1.0,Sochi
38.1261,44.8813,93416810,0.0167,synthetic-blacksea-mix,CC0-1.0,Novorossiysk
39.5807,41.1507,107169329,0.0422,synthetic-blacksea-mix,CC0-1.0,Trabzon
37.3863,45.1375,12882865,0.2329,synthetic-blacksea-mix,CC0-1.0,Anapa
27.9322,43.9136,112955539,0.0575,synthetic-blacksea-mix,CC0-1.0,offshore
28.7596,44.4155,125570356,0.0500,synthetic-blacksea-mix,CC0-1.0,Constanta
39.6667,43.5533,11182102,0.3082,synthetic-blacksea-mix,CC0-1.0,Sochi
37.9297,44.5276,50301425,0.3673,synthetic-blacksea-mix,CC0-1.0,Novorossiysk
37.2568,44.9058,7468666,0.2000,synthetic-blacksea-mix,CC0-1.0,Anapa
37.4794,44.7807,54930391,0.3734,synthetic-blacksea-mix,CC0-1.0,Anapa
37.3420,44.6962,157461930,0.0782,synthetic-blacksea-mix,CC0-1.0,Anapa
39.7866,43.4745,115046162,0.5088,synthetic-blacksea-mix,CC0-1.0,Sochi
39.6196,40.9652,144248544,0.4067,synthetic-blacksea-mix,CC0-1.0,Trabzon
28.7396,44.1078,155098097,0.0412,synthetic-blacksea-mix,CC0-1.0,Constanta
28.3967,44.3997,89954363,0.0000,synthetic-blacksea-mix,CC0-1.0,Constanta
28.8424,43.8565,132132397,0.0338,synthetic-blacksea-mix,CC0-1.0,Constanta
38.0888,44.8617,11461095,0.1152,synthetic-blacksea-mix,CC0-1.0,Novorossiysk
37.6507,45.3054,81173115,0.1715,synthetic-blacksea-mix,CC0-1.0,offshore
39.9011,40.7488,95959813,0.0724,synthetic-blacksea-mix,CC0-1.0,Trabzon
37.9839,44.6267,19745689,0.3689,synthetic-blacksea-mix,CC0-1.0,Novorossiysk
39.7408,41.2519,74419100,0.0093,synthetic-blacksea-mix,CC0-1.0,Trabzon
40.1289,40.4769,82356106,0.0770,synthetic-blacksea-mix,CC0-1.0,offshore
27.6842,42.1083,106331223,0.0413,synthetic-blacksea-mix,CC0-1.0,Burgas
27.1030,42.7466,18450592,0.1035,synthetic-blacksea-mix,CC0-1.0,Burgas
37.8558,44.6033,129193665,0.0000,synthetic-blacksea-mix,CC0-1.0,Novorossiysk
39.7602,43.3912,90093408,0.1657,synthetic-blacksea-mix,CC0-1.0,Sochi
39.2664,41.2734,135429329,0.0000,synthetic-blacksea-mix,CC0-1.0,offshore
37.5873,45.2956,116299607,0.1311,synthetic-blacksea-mix,CC0-1.0,Anapa
37.8611,44.6152,87170944,0.4461,synthetic-blacksea-mix,CC0-1.0,Novorossiysk
36.8669,45.2006,72031373,0.0670,synthetic-blacksea-mix,CC0-1.0,offshore
39.5640,41.3937,125310852,0.0210,synthetic-blacksea-mix,CC0-1.0,Trabzon
28.6665,44.0866,15558064,0.6275,synthetic-blacksea-mix,CC0-1.0,Constanta
27.3733,42.0840,26175742,0.0202,synthetic-blacksea-mix,CC0-1.0,Burgas
39.5828,43.7843,40721255,0.0381,synthetic-blacksea-mix,CC0-1.0,Sochi
36.9426,44.5753,124219744,0.0463,synthetic-blacksea-mix,CC0-1.0,Anapa
39.6925,43.3326,73034493,0.0902,synthetic-blacksea-mix,CC0-1.0,Sochi
37.2186,44.6046,33301104,0.0343,synthetic-blacksea-mix,CC0-1.0,Anapa
38.0375,44.8396,11452196,0.1233,synthetic-blacksea-mix,CC0-1.0,Novorossiysk
37.2848,44.6274,62994402,0.0034,synthetic-blacksea-mix,CC0-1.0,Anapa
36.9079,44.9382,108247111,0.0684,synthetic-blacksea-mix,CC0-1.0,Anapa
29.0106,44.1039,84245090,0.1424,synthetic-blacksea-mix,CC0-1.0,Constanta
37.6013,44.9581,152661554,0.1775,synthetic-blacksea-mix,CC0-1.0,Anapa
37.9712,44.6175,50189913,0.4574,synthetic-blacksea-mix,CC0-1.0,Novorossiysk
38.0396,44.7020,108739870,0.2341,synthetic-blacksea-mix,CC0-1.0,Novorossiysk
28.8103,44.1759,155763339,0.0814,synthetic-blacksea-mix,CC0-1.0,Constanta
39.9691,41.3307,152919256,0.0185,synthetic-blacksea-mix,CC0-1.0,Trabzon
27.7387,42.4267,1858501,0.0567,synthetic-blacksea-mix,CC0-1.0,Burgas
39.6807,41.3427,155652818,0.0118,synthetic-blacksea-mix,CC0-1.0,Trabzon
29.2438,44.4249,131982007,0.0773,synthetic-blacksea-mix,CC0-1.0,offshore
33.5604,44.0213,24138136,0.1126,synthetic-blacksea-mix,CC0-1.0,offshore
36.7078,44.6344,122452666,0.0991,synthetic-blacksea-mix,CC0-1.0,offshore
37.7574,44.5926,70671454,0.0171,synthetic-blacksea-mix,CC0-1.0,Novorossiysk
28.0963,44.0389,4722018,0.0087,synthetic-blacksea-mix,CC0-1.0,offshore
27.6290,42.7767,139845253,0.1816,synthetic-blacksea-mix,CC0-1.0,Burgas
28.3122,43.9127,10605330,0.1863,synthetic-blacksea-mix,CC0-1.0,Constanta
37.6675,44.8418,90334830,0.0887,synthetic-blacksea-mix,CC0-1.0,Novorossiysk
37.8973,44.7906,70201605,0.0962,synthetic-blacksea-mix,CC0-1.0,Novorossiysk
37.9790,44.9423,32318790,0.0654,synthetic-blacksea-mix,CC0-1.0,Novorossiysk
37.8622,44.8448,8013938,0.0000,synthetic-blacksea-mix,CC0-1.0,Novorossiysk
39.6627,43.5552,121942682,0.3209,synthetic-blacksea-mix,CC0-1.0,Sochi
28.3710,44.2002,141629593,0.1739,synthetic-blacksea-mix,CC0-1.0,Constanta
